app_name,duration,date,time
dist - File Explorer,14 seconds,2025-06-07,17:38:50
Task Manager,6 seconds,2025-06-07,17:38:50
Project - File Explorer,32 seconds,2025-06-07,17:38:50
K1 - Why you gotta lie?,22 seconds,2025-06-07,17:38:50
Program Manager,2 seconds,2025-06-07,17:38:50
New Tab - Google Chrome,4 seconds,2025-06-07,17:38:50
x.com/home - Google Chrome,2 seconds,2025-06-07,17:38:50
(1) Home / X - Google Chrome,4 minutes and 32 seconds,2025-06-07,17:42:50
New Tab - Google Chrome,2 seconds,2025-06-07,17:42:50
Instagram - Google Chrome,3 minutes and 36 seconds,2025-06-07,17:46:50
INTERNSHIP PROJECT - File Explorer,2 seconds,2025-06-07,17:46:50
PG.docx - WPS Office,8 seconds,2025-06-07,17:46:50
Task Switching,6 seconds,2025-06-07,17:46:50
Windows PowerShell,4 seconds,2025-06-07,17:46:50
Project - File Explorer,2 seconds,2025-06-07,17:46:50
data - File Explorer,2 seconds,2025-06-07,17:46:50
dist - File Explorer,16 seconds,2025-06-07,18:31:21
Task Manager,16 seconds,2025-06-07,18:31:21
Task Switching,2 seconds,2025-06-07,18:31:21
logger.py - Project - Visual Studio Code,14 seconds,2025-06-07,18:31:21
app.py - Project - Visual Studio Code,4 seconds,2025-06-07,18:31:21
monitor.py - Project - Visual Studio Code,8 seconds,2025-06-07,18:31:21
Program Manager,2 seconds,2025-06-07,18:31:21
New Tab - Google Chrome,10 seconds,2025-06-07,18:31:21
CIU | SIS - Google Chrome,24 seconds,2025-06-07,18:31:21
ChatGPT - Google Chrome,6 seconds,2025-06-07,18:31:21
Desktop_Tracker Explanations - Google Chrome,14 seconds,2025-06-07,18:31:21
x.com/home - Google Chrome,2 seconds,2025-06-07,18:35:21
(1) Home / X - Google Chrome,1 minute and 20 seconds,2025-06-07,18:35:21
WhatsApp,32 seconds,2025-06-07,18:35:21
Task Switching,2 seconds,2025-06-07,18:35:21
activity_log.csv - WPS Office,2 seconds,2025-06-07,18:35:21
(1) Home / X - Google Chrome,3 minutes and 22 seconds,2025-06-07,18:39:21
"(1) -1899- on X: ""Espectacular. 😍🔵🔴 https://t.co/VTomsUEscR"" / X - Google Chrome",8 seconds,2025-06-07,18:39:21
data - File Explorer,4 seconds,2025-06-07,18:39:21
activity_log.csv - WPS Office,16 seconds,2025-06-07,18:39:21
Save,2 seconds,2025-06-07,18:39:21
WPS Office,2 seconds,2025-06-07,18:39:21
dist - File Explorer,2 seconds,2025-06-07,18:39:21
